Open,High,Low,Close,Volume,Future_Close,Pct_Change,Target
42882.23,43175.66,42790.89,43005.29,1218.07748,41803.11,-2.795423539755226,B
43005.3,43400.0,42982.05,43369.04,1267.01944,41700.33,-3.847698727018166,B
43369.04,43508.78,43224.73,43438.1,1330.94921,41851.33,-3.6529452255047916,B
43438.11,43581.3,43111.57,43221.5,1292.4114,41529.14,-3.915551288132065,B
43221.5,43253.29,43066.04,43120.64,779.82229,41706.71,-3.2790097735098556,B
43120.63,43236.73,43007.81,43180.97,528.19132,42088.61,-2.529725478607823,B
43180.96,43241.41,43053.94,43082.31,557.69907,42422.56,-1.5313709965876947,C
43082.3,43145.83,42738.0,42788.15,1388.76561,42172.83,-1.4380617063369172,C
42788.15,43030.5,42785.56,43008.9,699.84938,42258.62,-1.7444761433098703,C
43008.9,43030.0,42771.59,42799.13,747.90157,42400.0,-0.9325656853305134,C
42799.12,42827.07,41577.77,41803.11,6273.84627,41489.22,-0.7508771476571944,C
41803.11,41909.23,41000.0,41700.33,6290.72537,41894.4,0.46539200049495943,C
41700.33,41950.0,41524.94,41851.33,2331.60741,41319.11,-1.2716919629555408,C
41851.33,41853.19,41409.95,41529.14,1875.03696,42135.26,1.4595053015786088,C
41529.15,41731.36,41206.9,41706.71,2325.13466,41993.48,0.6875872011961722,C
41706.71,42883.47,41607.5,42088.61,3719.93086,41707.64,-0.9051617527877522,C
42088.61,42628.34,42060.0,42422.56,1591.9884,41775.38,-1.52555621348641,C
42422.57,42533.43,42168.0,42172.83,1278.56313,41922.2,-0.5942925812661959,C
42172.84,42350.73,42161.0,42258.62,1036.72745,41875.01,-0.9077674566751128,C
42258.62,42500.0,42258.62,42400.0,975.52441,41541.82,-2.0240094339622647,B
42400.0,42766.17,41200.0,41489.22,5136.68431,41566.48,0.1862170462592501,C
41489.19,42132.98,41398.13,41894.4,2577.29371,41991.89,0.23270413229452613,C
41894.4,41915.36,40610.0,41319.11,5256.5439400000005,41883.41,1.365711894568888,C
41310.85,42315.85,40917.66,42135.26,4909.62675,41882.85,-0.5990469739595851,C
42137.38,42166.86,41749.06,41993.48,1186.96985,41810.91,-0.4347579671891915,C
41993.68,42000.0,41520.0,41707.64,880.73461,41900.92,0.46341629495219305,C
41707.04,41898.33,41516.0,41775.38,893.4115,41971.7,0.4699418652804588,C
41775.38,42054.0,41597.15,41922.2,1109.53468,41922.23,7.156112991711267E-5,C
41922.19,42035.0,41845.46,41875.01,596.35057,41913.58,0.09210744069075974,C
41875.0,41879.42,41350.0,41541.82,973.4074,41964.88,1.0183954386206424,C
41541.83,41599.92,41336.82,41566.48,780.34938,42163.71,1.4368067731498937,C
41566.48,42115.2,41558.0,41991.89,1244.69199,41918.66,-0.17439081689344282,C
41991.89,42246.37,41847.48,41883.41,1168.11943,41940.22,0.1356384305862337,C
41883.42,41944.44,41693.42,41882.85,623.26458,41876.31,-0.015614983221057959,C
41882.86,41911.86,41641.27,41810.91,510.16918000000004,41905.0,0.22503695805711116,C
41810.92,41991.2,41760.0,41900.92,471.07045,41741.27,-0.38101788695809413,C
41900.92,41999.99,41836.14,41971.7,517.64026,41613.33,-0.8538372284181851,C
41971.7,41994.66,41739.0,41922.23,625.30663,41346.01,-1.374497492142,C
41922.22,41975.44,41841.04,41913.58,521.47279,40842.12,-2.5563552433364056,B
41913.59,42177.94,41882.19,41964.88,947.1604,40679.82,-3.0622272719473944,B
41964.87,42187.2,41954.7,42163.71,860.34897,40831.07,-3.1606326862602923,B
42163.71,42200.0,41790.7,41918.66,839.11518,40975.37,-2.250286626528617,B
41918.66,41972.0,41767.16,41940.22,674.67737,41769.03,-0.4081762088992436,C
41940.22,42063.23,41773.47,41876.31,744.96865,41911.11,0.08310187788752857,C
41876.32,42037.75,41610.0,41905.0,1003.98627,41679.74,-0.5375492184703545,C
41904.99,41997.71,41715.0,41741.27,709.21182,41773.24,0.07659086558698662,C
41746.29,41799.04,41400.0,41613.33,1713.01211,41809.67,0.47181996730373776,C
41609.6,41740.53,41238.08,41346.01,1715.07063,42098.99,1.8211672662005254,C
41346.02,41398.45,40801.0,40842.12,3416.24626,41833.89,2.42830195886011,D
40842.11,41314.11,40501.0,40679.82,4373.31437,42079.41,3.440501949123678,D
40679.82,41100.0,40520.0,40831.07,3045.11478,41765.9,2.289506495911084,D
40831.06,41175.32,40720.0,40975.37,1424.80734,41873.62,2.1921705649027694,D
40975.36,42061.32,40923.39,41769.03,2802.28914,41791.51,0.05381977987040447,C
41769.03,42300.0,41740.31,41911.11,2006.54953,41666.67,-0.5832343738927515,C
41911.1,41948.94,41656.02,41679.74,995.12298,41510.01,-0.40722422932579705,C
41679.74,41831.25,41388.13,41773.24,1485.82226,41644.7,-0.3077089543449368,C
41773.24,41924.57,41596.43,41809.67,883.65676,41857.62,0.11468638714441987,C
41809.66,42170.11,41775.9,42098.99,1140.15501,41746.98,-0.8361483256486552,C
42098.99,42105.62,41792.0,41833.89,746.09555,41470.0,-0.8698449988753123,C
41833.9,42103.31,41800.78,42079.41,884.47963,41535.93,-1.2915580327766079,C
42079.4,42097.44,41715.44,41765.9,594.2152600000001,41621.11,-0.3466703698471741,C
41765.89,41948.4,41681.17,41873.62,566.39155,42143.04,0.6434122485708144,C
41873.62,41908.55,41778.95,41791.51,415.68476,42094.59,0.7252190696148438,C
41791.5,41949.99,41615.32,41666.67,789.93569,41966.99,0.720767942338564,C
41666.66,41766.8,41470.34,41510.01,858.20496,42695.26,2.855335375732263,D
41510.0,41728.65,41410.0,41644.7,705.73465,42439.38,1.9082380230857718,C
41644.7,41990.0,41642.54,41857.62,783.60595,42300.0,1.056868498495608,C
41857.62,41923.39,41665.46,41746.98,553.97717,42205.37,1.0980195453659147,C
41746.98,41894.01,41469.48,41470.0,922.91336,41864.62,0.9515794550277371,C
41470.0,41743.26,41469.99,41535.93,628.73613,41655.18,0.28710083053394975,C
41535.93,41681.89,41200.02,41621.11,1262.20157,41815.32,0.4666141772768653,C
41621.11,42146.25,41556.49,42143.04,1325.34768,41927.71,-0.5109503253680839,C
42143.05,42200.0,41880.01,42094.59,1198.07276,41967.59,-0.3017014775532913,C
42094.48,42279.0,41861.94,41966.99,1271.89519,42187.22,0.5247695867633185,C
41966.99,42740.0,41928.01,42695.26,2007.3352399999999,42031.29,-1.5551375023831713,C
42695.27,42786.7,42368.0,42439.38,1156.7954300000001,41925.01,-1.2120111085505854,C
42439.38,42557.36,42286.67,42300.0,568.89483,42042.38,-0.6090307328605262,C
42300.01,42497.26,42080.01,42205.37,749.07543,41816.84,-0.9205700601606054,C
42205.36,42282.3,41766.43,41864.62,1225.16744,41796.01,-0.16388540013023067,C
41864.62,42037.05,41623.67,41655.18,1083.2151,41778.88,0.2969618664473352,C
41655.18,41850.0,41601.0,41815.32,656.91367,41565.34,-0.5978191724946819,C
41815.32,41997.9,41711.95,41927.71,746.59629,40930.0,-2.379595737520602,B
41927.7,41990.99,41852.49,41967.59,603.35126,40774.0,-2.8440756307426676,B
41967.59,42248.5,41925.61,42187.22,1026.65893,40786.57,-3.320081294761782,B
42187.22,42230.84,41967.11,42031.29,641.96551,40984.33,-2.4909061796580576,B
42031.3,42048.63,41811.7,41925.01,823.59986,41904.4,-0.04915920115463439,C
41925.01,42149.31,41901.0,42042.38,723.8609,41184.45,-2.040631381953163,B
42042.38,42116.61,41712.99,41816.84,997.44685,41604.58,-0.5075945480337462,C
41808.96,41937.41,41710.96,41796.01,709.978,41297.15,-1.1935589066994685,C
41796.01,41986.0,41742.23,41778.88,628.09437,41714.72,-0.15357041644006786,C
41778.88,41793.85,41455.0,41565.34,1756.67489,41714.13,0.35796651729542184,C
41565.33,41616.72,40916.98,40930.0,3223.67692,41604.98,1.6491082335695166,C
40930.01,41057.52,40716.0,40774.0,2678.34877,41822.49,2.571467111394511,D
40774.01,41275.92,39650.0,40786.57,12877.43442,41593.7,1.978911195523422,C
40786.57,41200.0,40555.87,40984.33,3880.93354,41928.82,2.3045149207026148,D
40984.34,41985.99,40850.03,41904.4,4663.47158,42173.77,0.6428203243573355,C
41904.4,42121.63,40564.89,41184.45,5819.36057,42277.98,2.655201174229609,D
41184.44,41723.87,41118.36,41604.58,1816.05456,42304.65,1.6826753208420795,C
41604.58,41698.07,41205.65,41297.15,1358.54117,42110.0,1.9682956329916192,C
41297.15,41779.46,41158.99,41714.72,1245.44049,42105.0,0.9355929993057578,C
41716.81,41985.0,41562.38,41714.13,1365.38265,42211.05,1.191251022135678,C
41714.14,41849.45,41500.0,41604.98,729.88329,41991.78,0.9296963969217041,C
41604.98,41892.87,41503.56,41822.49,672.2866,41984.8,0.38809262671831585,C
41822.49,41878.78,41583.43,41593.7,869.73683,41631.02,0.08972512664177439,C
41593.69,42062.91,41544.64,41928.82,1240.9619,41809.99,-0.28340888200526926,C
41928.82,42400.01,41818.18,42173.77,1875.33837,41812.69,-0.8561719760884419,C
42173.77,42277.99,42056.8,42277.98,948.11009,41701.52,-1.3634993914089706,C
42277.99,42387.78,42123.03,42304.65,1170.50674,41642.0,-1.5663762730574566,C
42304.65,42315.79,42021.71,42110.0,897.6433000000001,41733.93,-0.8930657800997381,C
42110.0,42232.68,41971.37,42105.0,990.30927,42705.24,1.4255789098681817,C
42104.99,42280.0,42069.73,42211.05,824.67137,42549.01,0.8006434334137604,C
42212.21,42627.66,41930.01,41991.78,2197.68722,42755.0,1.8175461959459713,C
41991.78,42148.04,41843.13,41984.8,1058.9429,42972.05,2.3514462376860195,D
41984.79,42066.61,41575.0,41631.02,1544.92365,42800.38,2.808867041931715,D
41631.02,41944.0,41584.86,41809.99,1271.07829,42659.2,2.031117443462673,D
41809.99,41956.45,41722.23,41812.69,946.89068,42713.13,2.1535088988534223,D
41812.7,41899.0,41586.03,41701.52,1163.91865,42729.29,2.4645864227491088,D
41700.74,41823.01,41268.93,41642.0,2261.4602,42675.0,2.4806685557850248,D
41639.51,42200.0,41440.69,41733.93,2972.86186,42626.05,2.1376371695644347,D
41733.92,42925.07,41680.44,42705.24,4848.73177,42559.33,-0.3416676735688553,C
42705.24,43100.0,42319.24,42549.01,4190.85853,42605.02,0.13163643525429794,C
42549.01,42916.97,42353.07,42755.0,1416.65246,42629.9,-0.2925973570342616,C
42754.99,43086.7,42595.68,42972.05,1440.44569,42705.51,-0.620263636479993,C
42972.04,43095.26,42692.19,42800.38,1219.60178,42675.55,-0.29165628903293495,C
42797.62,42823.69,42643.74,42659.2,702.1038,42561.67,-0.2286259470407294,C
42664.71,42776.14,42597.41,42713.13,561.85993,42603.51,-0.25664239544139084,C
42713.12,42886.28,42633.97,42729.29,681.14201,42796.83,0.15806487774545486,C
42729.29,42965.0,42578.02,42675.0,1004.90689,42765.18,0.21131810193321687,C
42675.03,42769.06,42562.2,42626.05,724.93634,42935.92,0.7269498346668184,C
42626.04,42712.29,42450.0,42559.33,725.31326,43285.51,1.7062768610314125,C
42559.34,42679.76,42494.72,42605.02,631.48372,43920.97,3.0887205310548014,D
42605.01,42733.87,42518.97,42629.9,784.28575,43849.54,2.8609966244349607,D
42629.91,42773.64,42560.0,42705.51,652.0021399999999,43560.29,2.001568415878885,D
42705.51,42867.55,42600.01,42675.55,951.67503,43611.02,2.1920514205440678,D
42675.54,42675.55,42463.13,42561.67,948.81146,43841.57,3.0071658372427623,D
42561.66,42717.57,42508.69,42603.51,869.57762,43589.98,2.315466495600952,D
42603.51,42909.92,42565.99,42796.83,1281.02538,43743.11,2.2110983453681,D
42796.84,42990.01,42735.2,42765.18,1451.62564,43819.17,2.4645985355375517,D
42765.18,43443.6,42683.21,42935.92,2646.33241,43773.09,1.9498126510390328,C
42935.92,43301.5,42874.01,43285.51,2409.05723,43842.95,1.287821259354447,C
43285.52,44078.4,43187.6,43920.97,5227.41461,43902.66,-0.041688514620687275,C
